sheet_name,column_order,column_name,data_type,required,unique,default_value,enum_values,reference_sheet,reference_column,validation,description
Module_Size_Rules,10,rule_status,string,true,false,,CONFIRMED|DERIVED|PROVISIONAL|REQUIRES_EXPERT|NOT_SUPPORTED,,,"enum","Evidence status"
Module_Size_Rules,11,source_layer,string,true,false,,,,,"non_empty","Accepted source layer such as PRIMARY"
Module_Size_Rules,12,source_record_id,string,true,false,,,,,"non_empty","Stable record in the source dataset"
Module_Size_Rules,13,lifecycle_status,string,true,false,DRAFT,DRAFT|ACTIVE|RETIRED,,,"enum","Publication lifecycle"
Module_Size_Rules,14,effective_from,date,true,false,,,,,"iso_date","Inclusive effective date"
Module_Size_Rules,15,effective_to,date,false,false,,,,,"iso_date; value > effective_from; no_overlap(module_rule_id)","Exclusive effective date"
Module_Size_Rules,16,provenance,json,true,false,,,,,"valid_json_array; non_empty","Source references including canonical CSV record"
Module_Size_Rules,17,display_name,string,true,false,,,,,"non_empty","Human-readable label"
Module_Size_Rules,18,notes,string,false,false,,,,,"plain_text_only","Interpretation notes"
Module_Recipes,1,recipe_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable recipe identity"
Module_Recipes,2,module_class,string,true,false,,,,,"ascii_code","Target Stage 3 module class"
Module_Recipes,3,module_role,string,true,false,,,,,"ascii_code","Target functional role"
Module_Recipes,4,variant_code,string,true,false,default,,,,"ascii_code; unique_with(module_class,module_role,version)","Stable variant discriminator"
Module_Recipes,5,display_name,string,true,false,,,,,"non_empty","Human-readable recipe name"
Module_Recipes,6,rule_status,string,true,false,REQUIRES_EXPERT,CONFIRMED|DERIVED|PROVISIONAL|REQUIRES_EXPERT|NOT_SUPPORTED,,,"enum; ACTIVE requires CONFIRMED or DERIVED","Evidence status"
Module_Recipes,7,version,integer,true,false,1,,,,"integer >= 1","Recipe revision"
Module_Recipes,8,lifecycle_status,string,true,false,DRAFT,DRAFT|ACTIVE|RETIRED,,,"enum","Publication lifecycle"
Module_Recipes,9,effective_from,date,true,false,,,,,"iso_date","Inclusive effective date"
Module_Recipes,10,effective_to,date,false,false,,,,,"iso_date; value > effective_from; no_overlap(recipe_id)","Exclusive effective date"
Module_Recipes,11,provenance,json,true,false,,,,,"valid_json_array; non_empty","Accepted evidence and expert approval"
Module_Recipes,12,notes,string,false,false,,,,,"plain_text_only","Recipe limitations"
Module_Recipe_Items,1,recipe_item_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable recipe item identity"
Module_Recipe_Items,2,recipe_id,string,true,false,,,Module_Recipes,recipe_id,"foreign_key; no_orphans","Owning recipe"
Module_Recipe_Items,3,position,integer,true,false,,,,,"integer >= 0; unique_with(recipe_id)","Deterministic item order"
Module_Recipe_Items,4,catalog_item_code,string,true,false,,,Catalog_Items,catalog_item_code,"foreign_key; no_orphans","Material edge hardware or work"
Module_Recipe_Items,5,quantity_rule_id,string,true,false,,,,,"ascii_stable_id; matches(quantity_rule_version_id.rule_id)","Stable Stage 3 quantity rule ID"
Module_Recipe_Items,6,quantity_rule_version_id,string,true,false,,,Calculation_Rules,rule_version_id,"foreign_key; no_orphans","Exact executable rule version"
Module_Recipe_Items,7,quantity_value,decimal,false,false,,,,,"number >= 0; required only for literal quantity rules","Literal quantity when rule contract requires it"
Module_Recipe_Items,8,quantity_unit,string,true,false,,,,,"ascii_code; equals catalog default unit or accepted conversion","Quantity unit"
Module_Recipe_Items,9,price_code,string,true,false,,,Catalog_Items,price_code,"foreign_key; no_orphans","Stable price lookup code; not a price"
Module_Recipe_Items,10,quantity_params_json,json,true,false,{},,,,"valid_json_object; inputs allowed by quantity rule; no_executable_code","Typed quantity-rule inputs"
Module_Recipe_Items,11,provenance,json,true,false,,,,,"valid_json_array; non_empty","Evidence for this quantity row"
Module_Recipe_Items,12,notes,string,false,false,,,,,"plain_text_only","Item limitations"
Catalog_Items,1,catalog_item_code,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable catalog identity"
Catalog_Items,2,catalog_item_type,string,true,false,,MATERIAL|EDGE|HARDWARE|WORK|SERVICE,,,"enum","Normalized catalog discriminator"
Catalog_Items,3,display_name,string,true,false,,,,,"non_empty","Human-readable name"
Catalog_Items,4,default_unit,string,true,false,,,,,"ascii_code","Canonical calculation and price unit"
Catalog_Items,5,price_code,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable logical price lookup code"
Catalog_Items,6,lifecycle_status,string,true,false,DRAFT,DRAFT|ACTIVE|RETIRED,,,"enum","Catalog lifecycle"
Catalog_Items,7,provenance,json,true,false,,,,,"valid_json_array; non_empty","Master-data source references"
Catalog_Items,8,notes,string,false,false,,,,,"plain_text_only","Catalog notes"
Pricebook_Versions,1,pricebook_version_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Immutable pricebook snapshot identity"
Pricebook_Versions,2,pricebook_code,string,true,false,,,,,"ascii_stable_id; unique_with(version)","Stable logical pricebook code"
Pricebook_Versions,3,version,integer,true,false,,,,,"integer >= 1","Monotonic pricebook version"
Pricebook_Versions,4,currency,string,true,false,,,,,"iso_4217","Snapshot currency"
Pricebook_Versions,5,status,string,true,false,DRAFT,DRAFT|ACTIVE|RETIRED,,,"enum; at_most_one_active(pricebook_code,currency,timestamp)","Pricebook lifecycle"
Pricebook_Versions,6,effective_from,datetime,true,false,,,,,"iso_datetime","Inclusive effective instant"
Pricebook_Versions,7,effective_to,datetime,false,false,,,,,"iso_datetime; value > effective_from; no_overlap(pricebook_code,currency)","Exclusive effective instant; blank is open-ended"
Pricebook_Versions,8,source_context,string,true,false,production_pricebook,production_pricebook,,,"enum; historical_fixture forbidden","Explicit price context"
Pricebook_Versions,9,provenance,json,true,false,,,,,"valid_json_array; non_empty; historical normalization cannot be implicit source","Price source and approval evidence"
Pricebook_Versions,10,published_at,datetime,false,false,,,,,"required when status ACTIVE or RETIRED","Publication timestamp"
Pricebook_Versions,11,notes,string,false,false,,,,,"plain_text_only","Version notes"
Prices,1,price_entry_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable identity of one price row in one snapshot"
Prices,2,pricebook_version_id,string,true,false,,,Pricebook_Versions,pricebook_version_id,"foreign_key; no_orphans","Owning immutable pricebook version"
Prices,3,price_code,string,true,false,,,Catalog_Items,price_code,"foreign_key; no_orphans; unique_with(pricebook_version_id)","Stable logical price code"
Prices,4,catalog_item_code,string,true,false,,,Catalog_Items,catalog_item_code,"foreign_key; no_orphans; consistent_with(price_code)","Priced catalog item"
Prices,5,unit,string,true,false,,,,,"ascii_code; equals catalog default unit or accepted conversion","Price unit"
Prices,6,unit_price,decimal,true,false,,,,,"number >= 0","Price per unit"
Prices,7,currency,string,true,false,,,,,"iso_4217; equals pricebook currency","Price currency"
Prices,8,status,string,true,false,ENABLED,ENABLED|DISABLED,,,"enum","Availability inside the snapshot"
Prices,9,provenance,json,true,false,,,,,"valid_json_array; non_empty","Price source evidence"
Prices,10,notes,string,false,false,,,,,"plain_text_only","Price notes"
Calculation_Rules,1,rule_version_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable identity of a rule version"
Calculation_Rules,2,rule_id,string,true,false,,,,,"ascii_stable_id; unique_with(version)","Stable Stage 3 logical rule ID"
Calculation_Rules,3,display_name,string,true,false,,,,,"non_empty","Human-readable rule name"
Calculation_Rules,4,version,integer,true,false,1,,,,"integer >= 1","Rule contract version"
Calculation_Rules,5,scope,string,true,false,,,,,"non_empty","Rule applicability"
Calculation_Rules,6,rule_status,string,true,false,,CONFIRMED|DERIVED|PROVISIONAL|REQUIRES_EXPERT|NOT_SUPPORTED,,,"enum","Accepted evidence status"
Calculation_Rules,7,execution_mode,string,true,false,,CODE_BINDING|METADATA_ONLY|BLOCKING_STATUS,,,"enum; blocking statuses require BLOCKING_STATUS","Separates metadata from executable code"
Calculation_Rules,8,inputs_json,json,true,false,,,,,"valid_json_array; non_empty; no_executable_code","Declared input names"
Calculation_Rules,9,outputs_json,json,true,false,,,,,"valid_json_array; non_empty; no_executable_code","Declared output names"
Calculation_Rules,10,implementation_ref,string,false,false,,,,,"required for CODE_BINDING; repository_symbol_ref","Deterministic code binding"
Calculation_Rules,11,lifecycle_status,string,true,false,DRAFT,DRAFT|ACTIVE|RETIRED,,,"enum","Publication lifecycle"
Calculation_Rules,12,effective_from,datetime,true,false,,,,,"iso_datetime","Inclusive effective instant"
Calculation_Rules,13,effective_to,datetime,false,false,,,,,"iso_datetime; value > effective_from; no_overlap(rule_id)","Exclusive effective instant"
Calculation_Rules,14,provenance,json,true,false,,,,,"valid_json_array; non_empty","Accepted source references"
Calculation_Rules,15,notes,string,false,false,,,,,"plain_text_only","Non-executable formula explanation or debt"
Reference_Values,1,reference_value_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable enum row identity"
Reference_Values,2,reference_set,string,true,false,,,,,"ascii_code; unique_with(reference_code)","Enum/reference namespace"
Reference_Values,3,reference_code,string,true,false,,,,,"ascii_code","Stable enum code"
Reference_Values,4,display_name,string,true,false,,,,,"non_empty","Human-readable label"
Reference_Values,5,sort_order,integer,true,false,0,,,,"integer >= 0","Display order only"
Reference_Values,6,status,string,true,false,ACTIVE,ACTIVE|RETIRED,,,"enum","Reference lifecycle"
Reference_Values,7,provenance,json,true,false,,,,,"valid_json_array; non_empty","Definition provenance"
Reference_Values,8,notes,string,false,false,,,,,"plain_text_only","Reference notes"
