record_id,record_type,module_class,dimension,size_raw,size_value_mm,size_min_mm,size_max_mm,size_secondary_mm,size_qualifier,rank,market_frequency,manufacturability,appliance_compatibility,hardware_compatibility,design_relevance,recommended_use,source_layer,source_ref,evidence,comparison_note
MKT-011,market_baseline,base_general,width,900,900,900,900,,exact,B,medium,high,high-for-wide-hob,high,high,широкий drawer/storage; appliance-oriented,PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum; 90-см техника,канонический внешний baseline 3.1
MKT-012,market_baseline,base_general,width,1000,1000,1000,1000,,exact,C,medium,high,low,high,high,широкий drawer/sink/storage,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia 1000; nobilia/Schüller поддерживают класс,канонический внешний baseline 3.1
MKT-013,market_baseline,base_general,width,1200,1200,1200,1200,,exact,C,low,medium,low,high,high,"очень широкий drawer/sink, только подтверждённая конструкция",PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum/Schüller,канонический внешний baseline 3.1
MKT-014,market_baseline,base_drawer,width,300,300,300,300,,exact,B,high,high,na,high,high,узкие ящики,PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum,канонический внешний baseline 3.1
MKT-015,market_baseline,base_drawer,width,400,400,400,400,,exact,A,high,high,na,high,high,основной drawer size,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff/nobilia/Blum,канонический внешний baseline 3.1
MKT-016,market_baseline,base_drawer,width,450,450,450,450,,exact,B,medium,high,na,high,high,drawer module,PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum,канонический внешний baseline 3.1
MKT-017,market_baseline,base_drawer,width,500,500,500,500,,exact,B,medium,high,na,high,medium,drawer module,PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum,канонический внешний baseline 3.1
MKT-018,market_baseline,base_drawer,width,600,600,600,600,,exact,A,high,high,na,high,high,основной drawer module,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff/nobilia/Blum,канонический внешний baseline 3.1
MKT-019,market_baseline,base_drawer,width,800,800,800,800,,exact,A,high,high,na,high,high,широкий drawer module,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff/nobilia/Blum,канонический внешний baseline 3.1
MKT-020,market_baseline,base_drawer,width,900,900,900,900,,exact,B,medium,high,na,high,high,широкий drawer module,PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum,канонический внешний baseline 3.1
MKT-021,market_baseline,base_drawer,width,1000,1000,1000,1000,,exact,C,medium,medium,na,high,high,"широкий drawer, проверять нагрузку/фасад",PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum,канонический внешний baseline 3.1
MKT-022,market_baseline,base_drawer,width,1200,1200,1200,1200,,exact,C,low,medium,na,high,high,"очень широкий drawer, только системно подтверждённый",PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia/Blum,канонический внешний baseline 3.1
MKT-023,market_baseline,base_sink,width,500,500,500,500,,exact,C,medium,high,indirect,high,medium,компактная мойка,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Столплит и российский рынок подтверждают 500,канонический внешний baseline 3.1
MKT-024,market_baseline,base_sink,width,600,600,600,600,,exact,A,high,high,indirect,high,high,основной sink-base,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/Hoff/Столплит,канонический внешний baseline 3.1
MKT-025,market_baseline,base_sink,width,800,800,800,800,,exact,A,high,high,indirect,high,high,большой sink-base,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/Hoff/Столплит,канонический внешний baseline 3.1
MKT-026,market_baseline,base_sink,width,900,900,900,900,,exact,D,niche,high,indirect,high,high,угловой или широкий специальный sink-base,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia category + Schüller wide sink units,канонический внешний baseline 3.1
MKT-027,market_baseline,base_sink,width,1000,1000,1000,1000,,exact,C,medium,high,indirect,high,high,широкий sink-base,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Schüller 1000,канонический внешний baseline 3.1
MKT-028,market_baseline,base_sink,width,1200,1200,1200,1200,,exact,C,low,medium,indirect,high,high,"двойная/крупная мойка, system-specific",PRIMARY,deep-research-report.md / Основная нормализованная таблица,Schüller 1200,канонический внешний baseline 3.1
MKT-029,market_baseline,base_dishwasher_slot,nominal_width,450,450,450,450,,exact,A,high,high,direct,na,high,слот для узкой ПММ,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch device width 448 мм,канонический внешний baseline 3.1
MKT-030,market_baseline,base_dishwasher_slot,nominal_width,600,600,600,600,,exact,A,high,high,direct,na,high,слот для полноразмерной ПММ,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch device width 598 мм; Hoff имеет 600-мм фасад ПММ,канонический внешний baseline 3.1
MKT-031,market_baseline,base_dishwasher_slot,appliance_height,815,815,815,815,,exact,A,high,na,direct,na,high,"массовый ориентир, не единственный",PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch 45 и 60 см,канонический внешний baseline 3.1
MKT-032,market_baseline,base_dishwasher_slot,appliance_height,865,865,865,865,,exact,D,niche,na,direct,na,medium,XXL-class,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch XXL,канонический внешний baseline 3.1
MKT-033,market_baseline,base_dishwasher_slot,appliance_depth,550,550,550,550,,exact,A,high,na,direct,na,high,appliance dimension reference,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch integrated DW,канонический внешний baseline 3.1
MKT-034,market_baseline,base_oven,nominal_width,600,600,600,600,,exact,A,high,high,direct,high,high,стандартный модуль духовки,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch full-size oven + furniture systems,канонический внешний baseline 3.1
MKT-035,market_baseline,base_oven,niche_width,560–568,,560,568,,range,A,high,na,direct,na,high,"только ниша, не ширина корпуса",PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch oven installation data,канонический внешний baseline 3.1
MKT-036,market_baseline,base_oven,niche_height,585–595,,585,595,,range,A,high,na,direct,na,high,full-size oven niche,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch,канонический внешний baseline 3.1
MKT-037,market_baseline,base_oven,niche_depth,550,550,550,550,,exact,A,high,na,direct,na,high,full-size oven niche,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch,канонический внешний baseline 3.1
MKT-038,market_baseline,compact_oven,niche_height,450–455,,450,455,,range,B,medium,na,direct,na,high,компактная техника 45-см класса,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch,канонический внешний baseline 3.1
MKT-039,market_baseline,built_in_microwave,niche_height,380–382,,380,382,,range,C,medium,na,direct,na,medium,только соответствующий SKU,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch,канонический внешний baseline 3.1
MKT-040,market_baseline,base_hob,nominal_width,600,600,600,600,,exact,A,high,high,direct,high,high,основной hob module,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch 60-см hobs,канонический внешний baseline 3.1
MKT-041,market_baseline,base_hob,nominal_width,800,800,800,800,,exact,B,medium,high,direct,high,high,широкий hob module; проверять вырез,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch 80-см hob width ≈802 мм,канонический внешний baseline 3.1
MKT-042,market_baseline,base_hob,nominal_width,900,900,900,900,,exact,B,medium,high,direct,high,high,premium/wide hob module; проверять вырез,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch 90-см hob width ≈916 мм,канонический внешний baseline 3.1
MKT-043,market_baseline,base_hob,worktop_cutout_width,560,560,560,560,,exact,A,high,na,direct,na,high,пример 60-см класса; хранить по SKU,PRIMARY,deep-research-report.md / Основная нормализованная таблица,официальный Bosch product data,канонический внешний baseline 3.1
MKT-044,market_baseline,base_narrow_cargo,width,150,150,150,150,,exact,D,niche,high,na,high,high,бутылочница,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD 150/200; Delinia 150,канонический внешний baseline 3.1
MKT-045,market_baseline,base_narrow_cargo,width,200,200,200,200,,exact,D,niche,high,na,high,high,бутылочница/cargo,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD и Kesseböhmer,канонический внешний baseline 3.1
MKT-046,market_baseline,base_narrow_cargo,width,300,300,300,300,,exact,B,medium,high,na,high,high,полноценный narrow pull-out,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Kesseböhmer K-Line/DISPENSA junior,канонический внешний baseline 3.1
MKT-047,market_baseline,base_narrow_cargo,width,400,400,400,400,,exact,B,medium,high,na,high,high,широкий pull-out/storage,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Kesseböhmer K-Line,канонический внешний baseline 3.1
MKT-048,market_baseline,base_carcass,height,706,706,706,706,,exact,D,low,high,indirect,medium,low,"бюджетная система, не глобальный норматив",PRIMARY,deep-research-report.md / Основная нормализованная таблица,Столплит «Астра»,канонический внешний baseline 3.1
MKT-049,market_baseline,base_carcass,height,750,750,750,750,,exact,B,medium,high,high,high,high,европейский/premium baseline,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Nolte/next125,канонический внешний baseline 3.1
MKT-050,market_baseline,base_carcass,height,768,768,768,768,,exact,A,high-RU,high,high,high,high,российский модульный baseline,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia,канонический внешний baseline 3.1
MKT-051,market_baseline,base_carcass,height,800,800,800,800,,exact,A,high-EU,high,high,high,high,современный европейский baseline,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA METOD/Nolte,канонический внешний baseline 3.1
MKT-052,market_baseline,base_carcass,height,812.5,812.5,812.5,812.5,,exact,C,niche,high,high,high,high,системный raster next125,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-053,market_baseline,base_carcass,height,845,845,845,845,,exact,C,low,high,high,high,high,system-specific high carcass,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Häcker,канонический внешний baseline 3.1
MKT-054,market_baseline,base_carcass,height,875,875,875,875,,exact,C,niche,high,high,high,high,next125 raster,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-055,market_baseline,base_carcass,height,900,900,900,900,,exact,B,medium,high,high,high,high,высокий современный корпус,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Nolte,канонический внешний baseline 3.1
MKT-056,market_baseline,base_unit_with_plinth,height,820,820,820,820,,exact,B,high-RU,high,indirect,high,medium,распространённый готовый размер; не carcass,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff,канонический внешний baseline 3.1
MKT-057,market_baseline,plinth,height,50,50,50,50,,exact,C,low,high,indirect,na,high,низкий premium plinth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-058,market_baseline,plinth,height,75,75,75,75,,exact,C,medium,high,indirect,na,high,системный plinth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-059,market_baseline,plinth,height,100,100,100,100,,exact,B,medium,high,indirect,na,high,сильный практический baseline,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125; Delinia имеет 100-мм plinth product,канонический внешний baseline 3.1
MKT-060,market_baseline,plinth,height,125,125,125,125,,exact,C,medium,high,indirect,na,high,raster-system,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-061,market_baseline,plinth,height,150,150,150,150,,exact,B,medium,high,indirect,na,medium,традиционный высокий plinth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-062,market_baseline,plinth,height,175,175,175,175,,exact,C,low,high,indirect,na,low,высокий system-specific plinth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-063,market_baseline,worktop,thickness,13,13,13,13,,exact,C,medium,high,indirect,na,high,тонкая premium столешница,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-064,market_baseline,worktop,thickness,26–28,,26,28,,range,B,high-RU,high,indirect,na,medium,серийный российский сегмент,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Столплит,канонический внешний baseline 3.1
MKT-065,market_baseline,worktop,thickness,39,39,39,39,,exact,B,medium,high,indirect,na,high,европейская полноразмерная столешница,PRIMARY,deep-research-report.md / Основная нормализованная таблица,next125,канонический внешний baseline 3.1
MKT-066,market_baseline,base_carcass,depth,446–470,,446,470,,range,D,low,high,low,medium,low,compact/budget lower cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Столплит/Мебельвиа,канонический внешний baseline 3.1
MKT-067,market_baseline,base_carcass,depth,560,560,560,560,,exact,A,high,high,high,high,high,основной RU/full-depth carcass,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia,канонический внешний baseline 3.1
MKT-068,market_baseline,base_carcass,depth,561,561,561,561,,exact,A,high-EU,high,high,high,high,европейский furniture depth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,nobilia,канонический внешний baseline 3.1
MKT-069,market_baseline,base_carcass,depth,576–580,,576,580,,range,B,high,high,high,high,high,российский полноразмерный вариант,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff,канонический внешний baseline 3.1
MKT-070,market_baseline,base_carcass,depth,590,590,590,590,,exact,A,high-EU,high,high,high,high,actual METOD carcass depth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA,канонический внешний baseline 3.1
MKT-071,market_baseline,base_system,depth,600,600,600,600,,exact,A,high,high,high,high,high,"номинальная планировочная глубина, не смешивать с carcass",PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA/Столплит,канонический внешний baseline 3.1
MKT-072,market_baseline,base_shallow,depth,370–410,,370,410,,range,D,niche,high,low,medium,medium,специальный shallow solution,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD reduced-depth variants,канонический внешний baseline 3.1
MKT-073,market_baseline,wall_general,width,200,200,200,200,,exact,C,low,high,low,high,medium,узкий wall cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD,канонический внешний baseline 3.1
MKT-074,market_baseline,wall_general,width,300,300,300,300,,exact,B,medium,high,low,high,high,узкий wall cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD,канонический внешний baseline 3.1
MKT-075,market_baseline,wall_general,width,400,400,400,400,,exact,A,high,high,low,high,high,основной wall width,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD/Delinia/российские системы,канонический внешний baseline 3.1
MKT-076,market_baseline,wall_general,width,450,450,450,450,,exact,B,medium,high,low,high,high,дополнительный wall width,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/KONSENSA assortment,канонический внешний baseline 3.1
MKT-077,market_baseline,wall_general,width,500,500,500,500,,exact,C,medium,high,low,high,medium,допустим; особенно dryer cabinets,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD dryer ecosystem,канонический внешний baseline 3.1
MKT-078,market_baseline,wall_general,width,600,600,600,600,,exact,A,high,high,direct-for-hood,high,high,основной wall cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/Hoff/METOD,канонический внешний baseline 3.1
MKT-079,market_baseline,wall_general,width,700,700,700,700,,exact,C,low,high,low,high,medium,functional/dryer width,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD 700,канонический внешний baseline 3.1
MKT-080,market_baseline,wall_general,width,800,800,800,800,,exact,A,high,high,low,high,high,широкий wall cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/METOD/Столплит,канонический внешний baseline 3.1
MKT-081,market_baseline,wall_general,width,900,900,900,900,,exact,C,medium,high,direct-for-hood,high,high,wide/dryer/hood context,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD 900 + Bosch 90 hood,канонический внешний baseline 3.1
MKT-082,market_baseline,wall_horizontal,height,384–400,,384,400,,range,B,medium,high,low,high,high,горизонтальный/низкий верхний модуль,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/METOD,канонический внешний baseline 3.1
MKT-083,market_baseline,wall_general,height,600,600,600,600,,exact,B,medium,high,low,high,high,средний верхний модуль,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD,канонический внешний baseline 3.1
MKT-084,market_baseline,wall_general,height,690–720,,690,720,,range,B,high-RU,high,low,high,medium,российский серийный upper family,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff/Столплит,канонический внешний baseline 3.1
MKT-085,market_baseline,wall_general,height,768–800,,768,800,,range,A,high,high,low,high,high,основной высокий upper family,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/METOD,канонический внешний baseline 3.1
MKT-086,market_baseline,wall_high,height,1000–1030,,1000,1030,,range,B,medium,high,low,high,high,высокий верхний шкаф,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD/Delinia/KONSENSA,канонический внешний baseline 3.1
MKT-087,market_baseline,wall_carcass,depth,290–316,,290,316,,range,C,medium-RU,high,low,medium,low,compact/budget upper,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Столплит/Hoff,канонический внешний baseline 3.1
MKT-088,market_baseline,wall_carcass,depth,350,350,350,350,,exact,A,high-RU,high,low,high,high,основной российский upper depth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia,канонический внешний baseline 3.1
MKT-089,market_baseline,wall_carcass,depth,356,356,356,356,,exact,B,medium,high,low,high,high,российский system-specific,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff,канонический внешний baseline 3.1
MKT-090,market_baseline,wall_carcass,depth,366–370,,366,370,,range,B,high-EU,high,low,high,high,METOD upper depth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA,канонический внешний baseline 3.1
MKT-091,market_baseline,wall_dish_dryer,width,400,400,400,400,,exact,B,medium,high,na,direct,medium,малая сушилка,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD SU03 range,канонический внешний baseline 3.1
MKT-092,market_baseline,wall_dish_dryer,width,500,500,500,500,,exact,B,medium,high,na,direct,medium,сушилка,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD,канонический внешний baseline 3.1
MKT-093,market_baseline,wall_dish_dryer,width,600,600,600,600,,exact,A,high,high,na,direct,high,основной dryer cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD hit ranges,канонический внешний baseline 3.1
MKT-094,market_baseline,wall_dish_dryer,width,700,700,700,700,,exact,C,medium,high,na,direct,medium,допустимый dryer cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD,канонический внешний baseline 3.1
MKT-095,market_baseline,wall_dish_dryer,width,800,800,800,800,,exact,A,high,high,na,direct,high,широкий основной dryer cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD,канонический внешний baseline 3.1
MKT-096,market_baseline,wall_dish_dryer,width,900,900,900,900,,exact,B,medium,high,na,direct,high,широкий dryer cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,BOYARD,канонический внешний baseline 3.1
MKT-097,market_baseline,wall_hood,nominal_width,600,600,600,600,,exact,A,high,high,direct,high,high,основной корпус/зона вытяжки,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD + Bosch 60 cm,канонический внешний baseline 3.1
MKT-098,market_baseline,wall_hood,nominal_width,900,900,900,900,,exact,B,medium,high,direct,high,high,wide hood solution,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch current 90-cm integrated hood,канонический внешний baseline 3.1
MKT-099,market_baseline,tall_pantry,width,400,400,400,400,,exact,B,medium,high,low,high,high,узкий хозяйственный пенал,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD,канонический внешний baseline 3.1
MKT-100,market_baseline,tall_pantry,width,450,450,450,450,,exact,C,medium-RU,high,low,high,high,хозяйственный/полупенал,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia 450 semi-column/tall variants,канонический внешний baseline 3.1
MKT-101,market_baseline,tall_universal,width,600,600,600,600,,exact,A,high,high,direct,high,high,основной tall/appliance width,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia/METOD,канонический внешний baseline 3.1
MKT-102,market_baseline,tall_shallow,width,800,800,800,800,,exact,D,niche,high,low,high,high,широкий мелкий high cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD 80×37×200,канонический внешний baseline 3.1
MKT-103,market_baseline,tall_universal,height,2000,2000,2000,2000,,exact,B,high-EU,high,high,high,high,европейский tall cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD,канонический внешний baseline 3.1
MKT-104,market_baseline,tall_universal,height,2144,2144,2144,2144,,exact,A-RU,high-RU,high,high,high,high,сильный Delinia tall baseline,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia,канонический внешний baseline 3.1
MKT-105,market_baseline,tall_universal,height,2200,2200,2200,2200,,exact,B,high-EU,high,high,high,high,высокий METOD cabinet,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA,канонический внешний baseline 3.1
MKT-106,market_baseline,tall_universal,height,2340,2340,2340,2340,,exact,D,niche,high,high,high,high,premium/system-specific maximum class,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Häcker,канонический внешний baseline 3.1
MKT-107,market_baseline,tall_appliance,height,1400,1400,1400,1400,,exact,D,niche,high,direct,high,high,appliance/highboard variant,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD appliance cabinet,канонический внешний baseline 3.1
MKT-108,market_baseline,tall_carcass,depth,560,560,560,560,,exact,A,high-RU,high,direct,high,high,российский tall baseline,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia,канонический внешний baseline 3.1
MKT-109,market_baseline,tall_system,depth,600,600,600,600,,exact,A/B,high-EU,high,direct,high,high,nominal tall system depth,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD,канонический внешний baseline 3.1
MKT-110,market_baseline,tall_fridge,nominal_width,600,600,600,600,,exact,A,high,high,direct,high,high,базовый wrapper для встроенного холодильника,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD appliance cabinet + Bosch/NEFF appliance class,канонический внешний baseline 3.1
MKT-111,market_baseline,tall_fridge,nominal_niche_width,560,560,560,560,,exact,A,high,na,direct,na,high,распространённый European fridge class; проверять SKU,PRIMARY,deep-research-report.md / Основная нормализованная таблица,NEFF маркирует класс 177.5×56 cm,канонический внешний baseline 3.1
MKT-112,market_baseline,tall_fridge,appliance_height,1772,1772,1772,1772,,exact,A,high,na,direct,na,high,распространённый приборный габарит,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch/NEFF,канонический внешний baseline 3.1
MKT-113,market_baseline,tall_fridge,appliance_width,541–558,,541,558,,range,A,high,na,direct,na,high,"приборный размер, не корпус",PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch,канонический внешний baseline 3.1
MKT-114,market_baseline,tall_fridge,appliance_depth,545–548,,545,548,,range,A,high,na,direct,na,high,приборный размер,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Bosch/NEFF,канонический внешний baseline 3.1
MKT-115,market_baseline,corner_base,footprint_width,880,880,880,880,,exact,D,niche,high,low,direct,medium,только METOD corner geometry,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA METOD,канонический внешний baseline 3.1
MKT-116,market_baseline,corner_base,footprint_width,1000,1000,1000,1000,,exact,D,niche,high,low,high,medium,российский угловой корпус,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff,канонический внешний baseline 3.1
MKT-117,market_baseline,corner_sink,footprint_width,900,900,900,900,,exact,D,niche,high,indirect,high,medium,специальный corner sink,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Lemana/Delinia category,канонический внешний baseline 3.1
MKT-118,market_baseline,corner_wall,footprint,680×680,680,,,680,footprint,D,niche,high,low,direct,medium,только конкретная corner system,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD,канонический внешний baseline 3.1
MKT-119,market_baseline,corner_base_special,footprint,1280×680,1280,,,680,footprint,D,niche,medium,low,direct,high,blind-corner/drawer system-specific,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD corner implementation,канонический внешний baseline 3.1
MKT-120,market_baseline,tall_cargo,width,150–600,,150,600,,range,D,niche,high,na,direct,high,"pantry pull-out, не generic tall width",PRIMARY,deep-research-report.md / Основная нормализованная таблица,Kesseböhmer DISPENSA,канонический внешний baseline 3.1
MKT-121,market_baseline,tall_cargo,supported_height,900–2300,,900,2300,,range,D,niche,high,na,direct,high,"диапазон механизма, не высота корпуса-стандарт",PRIMARY,deep-research-report.md / Основная нормализованная таблица,Kesseböhmer DISPENSA,канонический внешний baseline 3.1
MKT-122,market_baseline,filler_wall,width,50,50,50,50,,exact,C,medium,high,indirect,na,medium,консервативный functional filler у стены; не global minimum,PRIMARY,deep-research-report.md / Основная нормализованная таблица,IKEA planning rule,канонический внешний baseline 3.1
