entity,field,source_location,data_type,unit,example_value,reliability,automatic_extraction,historical_or_current,issues,notes
detail,area,"Кукня_01.08.24.xls!Расчет!J5:J104",number,m2,"1.70748",high,"Автоматически извлекается",not_applicable,"Часть строк статична","Формула длина*ширина*кол-во*1e-6"
detail,body_area_total,"Кухня_16.01.26.xlsx!Лист1!I51",number,m2,"38.293515",high,"Автоматически извлекается",not_applicable,"Большинство строк площади статичны","I51=SUM(I2:I50)"
detail,facade_area_total,"Кухня_16.01.26.xlsx!Лист1!I78",number,m2,"8.991942",high,"Автоматически извлекается",not_applicable,"Большинство строк площади статичны","I78=SUM(I54:I77)"
material,article,"Кухня_22.05.26.xlsx!Лист1!A4:A32",text,,"1389316",high,"Автоматически извлекается",not_applicable,"Артикул отсутствует у работ и части материалов","Хранить как текст"
material,name,"Кухня_22.05.26.xlsx!Лист1!B4:B32",text,,"ЛДСП Egger 2800x2070x16",high,"Автоматически извлекается",not_applicable,"Размеры и декор встроены в наименование",""
material,unit,"Кухня_22.05.26.xlsx!Лист1!C4:C32",text,,"кв.м",high,"Автоматически извлекается",not_applicable,"Варианты м2/кв.м/лист/шт/компл требуют справочника",""
material,calculated_quantity,"Кухня_22.05.26.xlsx!Лист1!D4:D32",number,various,"29.26",high,"Автоматически извлекается",not_applicable,"Единица зависит от строки",""
material,order_coefficient,"Кухня_22.05.26.xlsx!Лист1!E4:E32",number,ratio,"1.2",high,"Автоматически извлекается",historical,"Правило выбора коэффициента не описано","Обычно 1; для материала/кромки часто 1.15-1.20"
material,order_quantity,"Кухня_22.05.26.xlsx!Лист1!F4:F32",number,various,"36",medium,"Автоматически извлекается",not_applicable,"Правило округления не формализовано; часть значений ручная",""
material,unit_price,"Кухня_22.05.26.xlsx!Лист1!G4:G32",number,currency_per_unit,"1160",medium,"Автоматически извлекается",historical,"Нет валюты, прайс-листа и даты действия","Не считать актуальным прайсом"
material,line_cost,"Кухня_22.05.26.xlsx!Лист1!H4:H32",number,currency,"41760",medium,"Автоматически извлекается",historical,"Только часть строк содержит формулу","H6=F6*G6"
material,supplier_or_note,"Кухня_22.05.26.xlsx!Лист1!I4:I32",text,,"Фиера",medium,"Автоматически извлекается",historical,"Смешаны поставщик, статус и комментарий",""
component,name,"Кухня_22.05.26.xlsx!Лист1!A3:A86",text,,"Компонент Корпус",high,"Автоматически извлекается",not_applicable,"Орфография Компанент/Компонент различается",""
component,subtotal,"Кухня_22.05.26.xlsx!Лист1!H33;H40;H47;H55;H72;H79;H86",number,currency,"101447.30",high,"Автоматически извлекается",historical,"Нет общего итога проекта","Каждый subtotal подтверждён SUM"
component,variant,"Кухня_01.04.25.xlsx!Лист1!A36:A71",text,,"Ящики №1/№2/№3",high,"Автоматически извлекается",not_applicable,"Не отмечен выбранный вариант","Альтернативы нельзя суммировать вместе"
hardware,name,"Кухня_01.07.23.xlsx!Лист1!B20:B77",text,,"CLIP top BLUMOTION",high,"Автоматически извлекается",not_applicable,"Группировка по поставщикам не единообразна",""
hardware,quantity,"Кухня_01.07.23.xlsx!Лист1!D20:F77",number,pcs_or_set,"37",high,"Автоматически извлекается",not_applicable,"Расчётное и заказное количество могут различаться",""
facade,area,"Кухня_16.01.26.xlsx!Лист1!E54:I77",number,m2,"0.60297",high,"Автоматически извлекается",not_applicable,"Размеры и площади в основном введены вручную",""
facade,price,"Кухня_22.05.26.xlsx!Лист1!G37:G39",number,currency_per_m2,"13856",medium,"Автоматически извлекается",historical,"Нет даты действия и валюты",""
countertop,part_length,"Кухня_16.01.26.xlsx!Лист1!E80:H86",number,mm,"2645",high,"Автоматически извлекается",not_applicable,"Нет формулы общей длины/площади",""
countertop,work_rate,"Расчет столешницы для кухни 01.08.21.xlsx!Лист1!B4:B20",number,currency_per_unit,"2000",medium,"Автоматически извлекается",historical,"Нет валюты и даты действия",""
countertop,work_quantity,"Расчет столешницы для кухни 01.08.21.xlsx!Лист1!D4:D20",number,various,"6",high,"Автоматически извлекается",not_applicable,"Единицы различаются по строкам",""
countertop,line_cost,"Расчет столешницы для кухни 01.08.21.xlsx!Лист1!E4:E20",number,currency,"12000",medium,"Автоматически извлекается",historical,"Доставка 800x1 записана как 5000 вручную","Большинство строк цена*количество"
countertop,total,"Расчет столешницы для кухни 01.08.21.xlsx!Лист1!E21",number,currency,"104600",high,"Автоматически извлекается",historical,"Содержит ручное исключение по доставке","E21=SUM(E4:E20)"
work,operation,"Кухня_01.04.25.xlsx!Лист1!K5:K13",text,,"Монтаж панелей в изделии",high,"Автоматически извлекается",not_applicable,"Номенклатура операций не нормализована",""
work,volume,"Кухня_01.04.25.xlsx!Лист1!L5:L13",number,various,"85",high,"Автоматически извлекается",not_applicable,"Единица операции не всегда указана",""
work,rate,"Кухня_01.04.25.xlsx!Лист1!M5:M13",number,currency_per_operation,"300",medium,"Автоматически извлекается",historical,"Нет даты действия и валюты",""
work,cost,"Кухня_01.04.25.xlsx!Лист1!N5:N14",number,currency,"59800",high,"Автоматически извлекается",historical,"Часть строк статична","N14=SUM(N6:N13)"
legacy_model,material_rate,"Кукня_01.08.24.xls!Расчет!H2",number,currency_per_m2,"1100",medium,"Требует отдельного конвертера",historical,"Нет даты действия и наименования прайса",""
legacy_model,edge_rate,"Кукня_01.08.24.xls!Расчет!I2",number,currency_per_m,"200",medium,"Требует отдельного конвертера",historical,"Нет даты действия",""
legacy_model,global_multiplier,"Кукня_01.08.24.xls!Расчет!J2",number,ratio,"1",medium,"Требует отдельного конвертера",historical,"Назначение и допустимые значения не документированы","Участвует в Расчет!P5"
legacy_model,global_divisor,"Кукня_01.08.24.xls!Расчет!K2",number,ratio,"0",medium,"Требует отдельного конвертера",historical,"Назначение не документировано; ветвление IF","При 0 деление не применяется"
legacy_model,project_total,"Кукня_01.08.24.xls!Расчет!P162",number,currency,"362372.7313",high,"Требует отдельного конвертера",historical,"Цена не является актуальным прайсом","P162=SUM(P5:P161)"
legacy_model,project_total,"Кухня_01.08.21.xls!Расчет!P157",number,currency,"424022.31372",high,"Требует отдельного конвертера",historical,"Цена не является актуальным прайсом","P157=SUM(P5:P156)"
manual_logic,hidden_parts_rule,"Сопроводительная записка.docx, раздел Тип Медведев",text,,"определяются по наитию",low,"Требует ручной проверки",not_applicable,"Формализованное правило отсутствует","До появления правил использовать только явно имеющиеся детали и количества; ничего не достраивать"
manual_logic,hardware_selection_rule,"Сопроводительная записка.docx",text,,"список фурнитуры по наитию",low,"Требует ручной проверки",not_applicable,"Правило отсутствует","Нужен мебельный специалист"
manual_logic,installation_method,"Сопроводительная записка.docx",text,,"перечень работ или процент",low,"Требует ручной проверки",not_applicable,"Процент и база не указаны","Нужен мебельный специалист"
